timestamps,words,terms,,,,,Marker
53365.111083918,1,A,58.472164154052734,188.13462829589844,184.29013061523438,117.74899291992188,0
53365.11158476,1,A,129.64012145996094,161.40194702148438,180.84796142578125,178.76925659179688,0
53365.113049766,1,A,111.26698303222656,129.57305908203125,172.7566375732422,184.49130249023438,0
53365.113542714,1,A,99.3311538696289,141.68771362304688,183.75369262695312,150.7401580810547,0
53365.115122809,1,A,107.55659484863281,193.05201721191406,253.2676239013672,156.32809448242188,0
53365.115636097,1,A,43.27297592163086,132.61289978027344,149.8684539794922,151.67893981933594,0
53365.117121293,1,A,64.82006072998047,122.28639221191406,183.26194763183594,137.5973358154297,0
53365.117603382,1,A,88.19998168945312,129.1260223388672,212.8556671142578,142.78294372558594,0
53365.119147405,1,A,109.1659164428711,144.10169982910156,196.22596740722656,129.23779296875,0
53365.119670637,1,A,111.44580078125,140.2572021484375,167.70513916015625,166.07345581054688,0
53365.121258178,1,A,136.97149658203125,169.716796875,216.2531280517578,137.19500732421875,0
53365.121748816,1,A,115.20088958740234,123.98512268066406,223.71861267089844,148.77320861816406,0
53365.16066597,1,A,136.882080078125,190.32510375976562,209.45819091796875,134.6916046142578,0
53365.161107013,1,A,164.59825134277344,122.01817321777344,165.42526245117188,155.07640075683594,0
53365.162216295,1,A,125.61680603027344,153.66824340820312,198.59524536132812,219.18121337890625,0
53365.162638305,1,A,129.72952270507812,95.15137481689453,188.31344604492188,172.64486694335938,0
53365.163743717,1,A,157.66920471191406,139.94427490234375,207.62535095214844,185.92181396484375,0
53365.164184481,1,A,170.45440673828125,162.69834899902344,235.02859497070312,202.0597686767578,0
53365.165301821,1,A,213.0121307373047,190.63803100585938,163.2794952392578,196.15890502929688,0
53365.165746712,1,A,128.65664672851562,168.867431640625,240.79534912109375,194.95191955566406,0
53365.21067412,1,A,167.5933837890625,212.095703125,250.0936737060547,177.78578186035156,0
53365.211137913,1,A,130.53419494628906,161.13372802734375,234.31333923339844,140.63717651367188,0
53365.212240308,1,A,127.00260925292969,160.01614379882812,251.34536743164062,179.1715850830078,0
53365.212666066,1,A,160.172607421875,144.32521057128906,213.12388610839844,173.3154296875,0
53365.213785282,1,A,184.2677764892578,202.88677978515625,274.05474853515625,127.67316436767578,0
53365.214243742,1,A,187.57583618164062,167.21339416503906,247.59027099609375,142.06768798828125,0
53365.215392389,1,A,213.10153198242188,154.20468139648438,271.10430908203125,145.50985717773438,0
53365.215809652,1,A,241.6223602294922,106.3719482421875,223.6739044189453,113.77037811279297,0
53365.260673577,1,A,191.3309326171875,163.45831298828125,243.7904815673828,179.84213256835938,0
53365.261106607,1,A,180.33387756347656,129.57305908203125,237.88961791992188,134.9598388671875,0
53365.262227073,1,A,232.27932739257812,130.5118408203125,242.13644409179688,151.00839233398438,0
53365.262648471,1,A,185.5194854736328,133.283447265625,243.34344482421875,232.234619140625,0
53365.263690072,1,A,238.4931182861328,114.32917022705078,230.55824279785156,148.54969787597656,0
53365.264134209,1,A,150.5613555908203,118.57600402832031,279.1956481933594,165.3582000732422,0
53365.265245168,1,A,183.59722900390625,110.43997192382812,205.47958374023438,176.17645263671875,0
53365.2656853,1,A,218.42124938964844,124.61097717285156,262.4765319824219,162.89952087402344,0
53365.266871694,1,A,160.66433715820312,181.51852416992188,253.625244140625,212.11805725097656,0
53365.267285315,1,A,240.1918487548828,141.330078125,259.5260925292969,182.12200927734375,0
53365.268407734,1,A,225.26087951660156,183.88780212402344,243.1199188232422,193.38729858398438,0
53365.268820506,1,A,231.2958526611328,175.5282440185547,293.9477844238281,140.0560302734375,0
53365.310940393,1,A,312.1644592285156,171.77316284179688,251.56887817382812,176.44467163085938,0
53365.311451847,1,A,261.9177551269531,212.945068359375,280.5367431640625,173.4495391845703,0
53365.312642527,1,A,330.4928894042969,168.64390563964844,277.0051574707031,165.6264190673828,0
53365.313086095,1,A,246.8526611328125,182.90432739257812,223.1821746826172,95.84427642822266,0
53365.314283288,1,A,209.39114379882812,170.4767608642578,297.38995361328125,186.77117919921875,0
53365.314792221,1,A,293.9254455566406,208.11709594726562,302.44146728515625,193.07437133789062,0
53365.316006756,1,A,285.2529602050781,200.91983032226562,267.8856506347656,171.88491821289062,0
53365.316479203,1,A,263.1247253417969,204.8090362548828,254.6087188720703,212.4309844970703,0
53365.317806606,1,A,238.0907745361328,195.19778442382812,280.00030517578125,168.666259765625,0
53365.318282069,1,A,228.7477569580078,204.5408172607422,293.3219299316406,179.7974395751953,0
53365.360618248,1,A,247.92555236816406,216.2531280517578,211.3804473876953,156.2386932373047,0
53365.361043313,1,A,279.5309143066406,189.4310302734375,235.02859497070312,178.50103759765625,0
53365.362195458,1,A,243.99163818359375,201.7244873046875,273.87591552734375,191.6885528564453,0
53365.362622485,1,A,246.22682189941406,165.29115295410156,219.33766174316406,180.19976806640625,0
53365.364334301,1,A,266.9245300292969,189.02870178222656,259.9284362792969,163.03363037109375,0
53365.3649313,1,A,281.1402282714844,215.31436157226562,233.0616455078125,168.88978576660156,0
53365.366346074,1,A,238.26959228515625,147.94619750976562,252.82058715820312,158.8314971923828,0
53365.36680604,1,A,303.9837341308594,184.51365661621094,266.5892639160156,183.32901000976562,0
53365.368000116,1,A,291.15380859375,179.8197784423828,276.1111145019531,130.35537719726562,0
53365.368442034,1,A,329.8670349121094,162.3854217529297,274.4570617675781,244.03634643554688,0
53365.410997036,1,A,253.1111602783203,166.00640869140625,228.09954833984375,143.9899444580078,0
53365.411529427,1,A,219.04708862304688,194.57192993164062,273.4736022949219,182.83726501464844,0
53365.412703675,1,A,287.9351806640625,193.72256469726562,273.6076965332031,211.00047302246094,0
53365.413157579,1,A,249.6689910888672,189.9227752685547,307.0458984375,131.96470642089844,0
53365.414310434,1,A,208.94410705566406,187.0170440673828,234.0451202392578,147.07447814941406,0
53365.414752689,1,A,277.56396484375,174.54476928710938,211.73806762695312,176.3552703857422,0
53365.415946835,1,A,251.14419555664062,179.462158203125,226.8031463623047,224.27740478515625,0
53365.41641497,1,A,242.5164337158203,135.87625122070312,245.31039428710938,214.26382446289062,0
53365.417606775,1,A,264.55523681640625,243.7457733154297,278.4803771972656,131.24945068359375,0
53365.418131994,1,A,291.2879333496094,158.80914306640625,256.03924560546875,225.48440551757812,0
53365.460610037,1,A,197.63412475585938,168.55450439453125,236.3249969482422,163.83828735351562,0
53365.461050592,1,A,276.62518310546875,213.7050323486328,251.70298767089844,171.79550170898438,0
53365.46226109,1,A,302.15087890625,211.02281188964844,307.4482421875,169.3815155029297,0
53365.462711117,1,A,199.4669647216797,185.5418243408203,281.3414001464844,162.63128662109375,0
53365.463813942,1,A,204.1161346435547,183.708984375,237.88961791992188,133.3952178955078,0
53365.464250929,1,A,287.8904724121094,193.40963745117188,292.3384704589844,208.76528930664062,0
53365.465343726,1,A,265.2705078125,190.10159301757812,318.1770935058594,165.1346893310547,0
53365.465781207,1,A,238.31430053710938,179.10452270507812,249.19960021972656,184.9830322265625,0
53365.467007849,1,A,297.99346923828125,154.69642639160156,231.8099365234375,171.1249542236328,0
53365.467481081,1,A,277.6086730957031,202.2162322998047,227.0713653564453,174.9247589111328,0
53365.510682829,1,A,226.4231719970703,198.05880737304688,231.98875427246094,167.54867553710938,0
53365.511131044,1,A,251.45712280273438,218.7565155029297,296.1829528808594,173.6730499267578,0
53365.512210835,1,A,227.6301727294922,202.39505004882812,277.5863037109375,204.83139038085938,0
53365.512653412,1,A,251.81475830078125,137.61968994140625,281.6543273925781,218.3765411376953,0
53365.513922638,1,A,230.26766967773438,137.03854370117188,301.3238525390625,108.62947845458984,0
53365.514351463,1,A,287.7116394042969,179.90919494628906,264.0858459472656,171.57199096679688,0
53365.515624365,1,A,230.98292541503906,218.8012237548828,232.03346252441406,169.33682250976562,0
53365.51606078,1,A,239.70010375976562,172.71192932128906,240.482421875,163.9276885986328,0
53365.517379972,1,A,346.228515625,196.58358764648438,250.04896545410156,198.08116149902344,0
53365.517802689,1,A,235.18505859375,130.28831481933594,243.6563720703125,168.08511352539062,0
53365.518984478,1,A,294.7301025390625,156.4398651123047,225.7302703857422,148.63909912109375,0
53365.519737434,1,A,261.78363037109375,131.89764404296875,290.2821044921875,109.61295318603516,0
53365.521362969,1,A,236.2579345703125,170.16383361816406,243.83517456054688,208.58648681640625,0
53365.521958234,1,A,256.821533203125,217.41542053222656,293.3219299316406,170.9014434814453,0
53365.523239289,1,A,270.27728271484375,243.2540283203125,302.1285400390625,144.4369659423828,0
53365.52368627,1,A,264.0635070800781,208.6982421875,226.04319763183594,192.58262634277344,0
53365.524984191,1,A,284.1353759765625,176.60113525390625,284.56005859375,157.75860595703125,0
53365.525434647,1,A,231.11703491210938,169.98501586914062,312.3656311035156,174.43301391601562,0
53365.56104169,1,A,236.83908081054688,181.69732666015625,293.903076171875,199.55638122558594,0
53365.561516088,1,A,225.08206176757812,205.25607299804688,317.4618225097656,176.04234313964844,0
53365.562691788,1,A,253.826416015625,196.22596740722656,266.4104309082031,181.27264404296875,0
53365.563114175,1,A,276.0440368652344,181.74203491210938,294.1266174316406,241.2647247314453,0
53365.564255028,1,A,260.8895568847656,188.76048278808594,244.32691955566406,199.64578247070312,0
53365.564704139,1,A,216.6331024169922,185.49713134765625,273.6971130371094,168.93447875976562,0
53365.610864494,1,A,302.01678466796875,190.7721405029297,320.1887512207031,179.0374755859375,0
53365.61146545,1,A,242.6952362060547,217.63893127441406,317.90887451171875,149.98020935058594,0
53365.61309728,1,A,259.5931701660156,187.91111755371094,296.6747131347656,176.712890625,0
53365.613583908,1,A,244.7963104248047,153.04238891601562,274.27825927734375,165.7605438232422,0
53365.615064351,1,A,253.424072265625,160.55258178710938,325.77667236328125,153.60118103027344,0
